Class_Averages(LL,LS,SL,SS)(-1.0 -0.1 0.7) 	1.2 	 2 	-nan 	6.4 	129542 	66.27
Class_Averages(LL,LS,SL,SS)(-1.0 -0.1 0.8) 	1.2 	 2 	-nan 	6.4 	129542 	66.27
Class_Averages(LL,LS,SL,SS)(-1.0 -0.1 0.9) 	1.2 	 2 	-nan 	6.4 	129542 	66.27
Class_Averages(LL,LS,SL,SS)(-1.0 0.0 -1.0) 	1.1 	1.7 	-nan 	3.3 	135204 	63.50
Class_Averages(LL,LS,SL,SS)(-1.0 0.0 -0.9) 	1.1 	1.7 	-nan 	3.3 	135204 	63.50
Class_Averages(LL,LS,SL,SS)(-1.0 0.0 -0.8) 	1.1 	1.7 	-nan 	3.3 	135204 	63.50
Class_Averages(LL,LS,SL,SS)(-1.0 0.0 -0.7) 	1.1 	1.7 	-nan 	3.3 	135204 	63.50
Class_Averages(LL,LS,SL,SS)(-1.0 0.0 -0.6) 	1.1 	1.7 	-nan 	3.3 	135204 	63.50
Class_Averages(LL,LS,SL,SS)(-1.0 0.0 -0.5) 	1.1 	1.7 	-nan 	3.3 	135204 	63.50
Class_Averages(LL,LS,SL,SS)(-1.0 0.0 -0.4) 	1.1 	1.7 	-nan 	3.3 	135204 	63.50
Class_Averages(LL,LS,SL,SS)(-1.0 0.0 -0.3) 	1.1 	1.7 	-nan 	3.3 	135204 	63.50
Class_Averages(LL,LS,SL,SS)(-1.0 0.0 -0.2) 	1.1 	1.7 	-nan 	3.3 	135204 	63.50
Class_Averages(LL,LS,SL,SS)(-1.0 0.0 -0.1) 	1.1 	1.7 	-nan 	3.3 	135204 	63.50
Class_Averages(LL,LS,SL,SS)(-1.0 0.0 0.0) 	1.3 	2.3 	-nan 	5.8 	129542 	66.27
Class_Averages(LL,LS,SL,SS)(-1.0 0.0 0.1) 	1.2 	 2 	-nan 	6.4 	129542 	66.27
Class_Averages(LL,LS,SL,SS)(-1.0 0.0 0.2) 	1.2 	 2 	-nan 	6.4 	129542 	66.27
Class_Averages(LL,LS,SL,SS)(-1.0 0.0 0.3) 	1.2 	 2 	-nan 	6.4 	129542 	66.27
Class_Averages(LL,LS,SL,SS)(-1.0 0.0 0.4) 	1.2 	 2 	-nan 	6.4 	129542 	66.27
Class_Averages(LL,LS,SL,SS)(-1.0 0.0 0.5) 	1.2 	 2 	-nan 	6.4 	129542 	66.27
Class_Averages(LL,LS,SL,SS)(-1.0 0.0 0.6) 	1.2 	 2 	-nan 	6.4 	129542 	66.27
Class_Averages(LL,LS,SL,SS)(-1.0 0.0 0.7) 	1.2 	 2 	-nan 	6.4 	129542 	66.27
